STUDENT_ID,SUBJECT_NAME,GRADE_LEVEL,LETTER_GRADE
36497,World Language,11,I
73435,Math,6,I
87973,History,9,I
177600,Science,8,A-
148531,Electives,6,N/A
82052,Math,6,I
148554,Electives,6,N/A
73437,English,6,I
19804,Mentor,,
148558,Electives,6,N/A
64836,Science,8,C
176562,History,6,I
22941,Electives,9,A+
34325,Math,6,C+
177462,History,11,I
17673,Science,9,I
132678,Electives,9,C
147444,Science,6,I
54475,Math,10,B-
168896,English,7,I
191189,English,8,A-
54531,Electives,9,I
7738,Electives,9,I
186932,Electives,10,I
73449,Mentor,,
191197,Science,6,I
35498,Electives,9,I
47276,English,7,A-
73457,Mentor,,
69548,Electives,9,I
73471,Mentor,,
196278,Science,9,I
177968,Science,8,I
49279,World Language,8,A
69550,Electives,9,I
73483,Mentor,,
19808,Mentor,,
20221,Electives,8,N/A
143120,Science,10,I
73503,Mentor,,
168517,Electives,6,N/A
197307,Science,6,I
197313,Science,6,I
168844,Electives,8,N/A
101742,Math,6,I
73513,Mentor,,
132706,Electives,9,A-
169364,Science,7,I
197315,Science,6,I
101742,English,6,I
73541,Mentor,,
73543,Mentor,,
135760,Mentor,,
73545,Mentor,,
132718,Electives,9,C+
197321,Science,6,I
73549,Mentor,,
19810,Mentor,,
197324,Science,6,I
73555,Mentor,,
197323,Science,6,I
73557,Mentor,,
170705,Science,7,I
32550,English,9,I
197327,Science,6,I
73559,Mentor,,
179032,Mentor,,
73575,Mentor,,
23050,Electives,9,I
197329,Science,6,I
73577,Mentor,,
197331,Science,6,I
129752,History,8,B+
73579,Mentor,,
191216,Mentor,,
191222,Mentor,,
197335,Science,6,I
73591,Mentor,,
96203,History,7,A
191208,Mentor,,
197341,Science,6,I
73601,Mentor,,
191218,Mentor,,
191220,Mentor,,
73607,Mentor,,
197345,Science,6,I
197349,Science,6,I
73615,Mentor,,
178659,English,9,I
167209,English,9,I
73625,Mentor,,
191226,English,7,I
135762,Mentor,,
19816,Mentor,,
73641,Mentor,,
178478,English,9,I
191226,Mentor,,
178462,English,9,I
197368,Math,6,I
191230,English,7,I
124384,Science,7,I
191230,Mentor,,
156095,Math,8,I
191230,English,7,I
196697,English,6,I
191214,History,7,I
191214,Mentor,,
73675,Mentor,,
73697,Math,9,I
59297,Science,10,I
96259,Math,7,N/A
73697,Science,9,I
191228,History,7,I
73697,History,9,B
197085,Math,7,I
191228,Science,7,I
197085,History,7,I
73699,Mentor,,
191228,Mentor,,
178467,English,9,I
197085,English,7,I
197085,Electives,10,I
191224,History,7,I
73701,Mentor,,
22989,Electives,10,C
96319,Math,7,N/A
191224,Mentor,,
73703,Mentor,,
191224,English,7,I
73705,Mentor,,
95999,World Language,9,I
197388,Math,7,I
191232,English,7,I
23052,Electives,10,I
191232,History,7,I
191232,Mentor,,
178964,Math,8,I
73723,Mentor,,
96031,World Language,9,I
178960,English,8,B-
197388,Mentor,,
191232,English,7,I
96379,Math,7,N/A
191212,English,7,I
179663,Math,9,I
135766,Mentor,,
191212,Mentor,,
73729,Mentor,,
179806,Math,8,I
179816,Math,8,I
179911,English,12,I
63417,History,8,B
17049,World Language,9,B+
126787,Science,5,I
180906,World Language,9,I
64700,History,6,B
