PARENT_ID,STUDENT_ID
2842,2081
2843,1091
2844,1465
2845,2027
2847,1724
2848,2116
2849,2117
195516,195515
2851,1870
2852,2119
2854,1067
2855,1399
2856,556
2857,830
2858,533
2859,1624
2861,619
2862,2120
195527,195526
2864,2122
2865,1632
2866,2123
2868,871
2870,2125
2877,1416
2878,2126
2879,838
2880,1056
2881,2127
2882,2128
2883,2129
2884,2130
2885,2131
2886,2132
2887,184
2889,244
2893,835
2896,186
2899,1903
2900,2133
2901,1467
2902,1981
2903,1900
2904,592
195530,195529
2906,1476
195541,195540
2910,2136
2911,2137
2913,916
2914,2139
195543,195542
2916,1576
2917,944
2918,1505
2919,349
2920,357
2921,216
2922,1509
2923,1046
2924,259
2926,1536
2927,189
2928,1217
2929,332
2931,331
195552,195551
2933,1830
2941,2141
2945,2142
2946,418
2947,2143
2948,389
2949,1834
2950,1990
195556,195555
2952,420
2953,1994
2955,404
2956,419
2960,1617
2965,1861
2966,1097
2967,1099
2968,2144
2969,2145
2970,2146
2971,1382
2972,1193
2973,451
2974,476
2975,2147
2978,528
2984,2148
195558,195557
195560,195559
195566,195565
2988,2151
2989,2152
2990,1120
195570,195569
2992,2154
2993,2155
2994,2156
2995,2157
2996,2158
2997,1123
195592,195591
2999,2160
195611,195610
3001,474
3002,2162
3003,525
3004,584
3005,587
3006,1066
3007,634
3008,630
3009,1081
3011,612
3013,581
3014,1956
3015,512
3016,590
3017,601
3018,596
3019,642
3020,643
3021,269
3023,927
3024,335
195616,195615
195618,195617
3027,2163
3029,181
3030,683
3031,2165
3032,2166
3034,669
3035,2168
3036,2169
3037,2170
3038,837
3039,729
3041,762
3042,822
3043,2172
3044,622
3047,658
3048,681
3049,699
3050,1213
3052,682
3054,613
3055,611
3056,718
3057,667
3058,684
3059,2173
3060,2174
3061,2175
3063,2176
3064,2177
3065,690
3068,2180
3069,2183
3070,768
3071,2184
3073,1860
3074,2186
3075,2187
3077,1251
3080,739
3081,1086
3082,757
3083,1783
3084,2188
3085,901
3086,2189
195518,195517
3088,2191
3089,2192
195554,195553
195562,195561
3093,2197
3094,2198
3095,2199
195564,195563
3098,942
3099,2214
3100,971
3101,2215
3102,2216
3103,1297
3104,2217
3105,1908
3106,2218
3107,2219
3108,2220
3109,1128
3110,2221
3111,2222
3113,1263
195568,195567
3115,2224
3116,2225
3117,2226
3120,2228
3121,2229
195572,195571
3124,1024
3125,1489
3126,1198
3127,1015
3129,905
3130,917
3131,999
3132,924
3133,1592
3134,935
3136,1578
3137,1317
3138,1132
3139,1137
3141,322
3142,956
3143,957
3144,1159
3145,973
3146,976
3147,1242
3148,1291
3149,922
3150,1525
3151,1257
3152,1298
3153,1392
3154,1288
3155,1973
3156,1976
3158,962
3160,1293
3161,446
3162,1415
3163,1371
3164,991
3165,994
3166,997
3167,1014
3168,1021
195574,195573
3170,1334
3171,1503
3172,1385
3173,1387
3174,1072
3176,1454
3177,1279
3178,1527
3179,1107
3180,1646
3181,1380
3182,1468
3183,1480
3184,1769
3185,306
3187,444
3188,1140
195582,195581
3190,1160
3191,1266
195588,195587
3193,1561
3194,1427
3195,447
3196,455
3197,974
3198,2841
3199,252
3200,290
3201,291
3202,1294
3203,292
3204,293
3205,1761
3206,1773
195614,195613
3208,1374
3209,1386
3210,1820
3211,1112
3212,1346
3213,324
3214,1106
3215,358
3216,360
3217,464
3218,653
3219,783
3220,1155
3222,296
3223,228
3224,1571
3225,1487
3226,1202
3229,1671
3230,1930
3231,1144
3232,317
3233,214
3234,437
3236,1211
3237,461
3238,1405
3239,660
3240,196
3241,1409
3242,746
3243,1626
3244,752
3245,1812
3246,1321
3247,1764
3248,1076
3249,1583
3250,1077
3251,1234
3252,1141
3253,1188
3255,555
3256,1871
3257,1222
3258,1150
3260,1372
3262,1496
3264,1327
3265,522
3266,1355
3267,1205
3268,1284
3269,1285
3270,1670
3271,1641
3273,1845
3274,531
3275,1691
3276,1139
3277,1167
3280,1663
3281,1308
3283,1666
3284,1397
3286,1100
3287,1396
3288,1430
3289,1079
3290,1058
3291,1110
3292,1181
3293,1069
195520,195519
3295,1080
3296,541
3297,594
3298,566
3299,1421
3300,1959
3301,574
3302,1243
3303,1244
3304,1250
3305,1262
3306,529
3307,606
3308,489
3309,1847
3310,510
3311,1153
3312,1165
3313,515
3314,1316
3315,1149
3316,483
3319,1842
3320,1172
3321,550
3322,1375
3323,1585
3324,552
3325,1161
3326,534
3328,1311
3329,521
3330,1573
3331,1255
3332,1203
3333,1575
3334,615
3335,1299
3336,1187
3337,1055
3338,1057
3339,1535
3340,501
3341,567
3342,577
3343,1401
3344,553
3345,519
3346,1083
3347,492
3348,576
195576,195575
3350,1126
3351,1131
3352,1138
195620,195619
3354,1166
3355,593
3357,614
3358,1179
3359,1180
3360,1189
3361,1221
3362,488
3363,1422
3364,1709
3365,1743
3366,504
3368,604
3370,1836
3372,511
3373,559
3374,1261
3375,1477
3376,1478
3378,1271
3381,1643
3382,493
3383,505
3384,1227
3385,475
3386,546
3387,482
3389,1625
3390,1684
3391,1719
3392,1725
3393,1411
3394,1802
3395,1420
3396,1322
